structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z
4077,22,594,CX,"PCLa-i","paracentral lobule, anterior part, right, inferior bank of gyrus",37470,87,52,116,5.9,-27.7,49.7
4323,11,2985,CX,"Cl","claustrum, right",40517,66,92,63,29.2,17.0,-2.9
4323,18,2801,CX,"Cl","claustrum, right",41516,66,81,104,28.2,-22.8,16.8
4440,18,2273,CX,"LGd","dorsal lateral geniculate nucleus, left",41473,116,94,101,-24.6,-24.6,1.3
4266,17,2785,CX,"CA4","CA4 field, right",41142,63,104,106,31.1,-31.3,-7.3
4267,17,2793,CX,"DG","dentate gyrus, right",41141,63,104,107,31.1,-32.3,-7.1
4782,72,2795,CB,"Dt","dentate nucleus, left",73345,101,130,123,-9.7,-57.4,-32.6
4784,69,2787,CB,"Fas","fastigial nucleus, left",75936,90,127,125,1.9,-58.4,-28.7
4788,67,2874,CB,"Emb","emboliform nucleus, right",56000,84,125,118,8.5,-50.3,-27.8
4251,17,2858,CX,"S","subiculum, left",41212,114,108,100,-22.6,-27.4,-13.8
4254,17,2850,CX,"CA1","CA1 field, left",41211,124,107,100,-33.2,-27.4,-12.9
4281,17,2866,CX,"TCd","tail of caudate nucleus, left",41213,124,102,98,-33.1,-23.9,-8.0
4450,19,2809,CX,"DTA","anterior group of nuclei, right",67019,84,85,109,9.0,-29.6,13.2
4472,19,2817,CX,"DTLv","lateral group of nuclei, right, ventral division",67020,75,86,108,18.5,-28.6,12.1
4487,19,2825,CX,"ILr","rostral group of intralaminar nuclei, right",73214,84,88,109,9.0,-30.5,10.0
4395,19,2929,CX,"DTA","anterior group of nuclei, left",66981,102,80,102,-9.8,-21.3,16.8
4400,19,2857,CX,"DTM","medial group of nuclei, left",80127,100,92,105,-7.8,-27.8,4.6
4417,19,2849,CX,"DTLv","lateral group of nuclei, left, ventral division",66985,112,87,105,-20.5,-26.7,9.7
4432,19,2865,CX,"ILr","rostral group of intralaminar nuclei, left",80126,104,87,104,-12.0,-25.4,9.6
4437,19,2841,CX,"ILc","caudal group of intralaminar nuclei, left",66984,106,94,105,-14.2,-28.5,2.3
4322,12,2977,CX,"Cl","claustrum, left",36307,121,90,67,-29.0,12.0,-1.1
4455,16,3001,CX,"DTM","medial group of nuclei, right",665541,91,86,93,2.0,-13.3,8.8
4472,16,2993,CX,"DTLv","lateral group of nuclei, right, ventral division",665542,87,85,92,6.3,-11.9,9.8
4512,16,3009,CX,"R","reticular nucleus of thalamus, right",362512,82,84,92,11.6,-11.5,10.9
4537,16,3050,CX,"Pa","paraventricular nuclei, right of thalamus, right",665540,91,88,93,2.0,-13.9,6.7
4314,16,3017,CX,"SI","substantia innominata, right",56068,72,93,94,22.0,-15.9,1.9
4519,16,2803,CX,"Sb","subthalamic nucleus, right",39177,73,98,95,20.9,-18.3,-3.2
9074,16,2811,CX,"SNC","substantia nigra, pars compacta, left",344600,93,104,95,-0.3,-20.5,-10.1
4417,17,3041,CX,"DTLv","lateral group of nuclei, left, ventral division",87542,105,84,98,-12.9,-18.3,11.6
4450,17,3033,CX,"DTA","anterior group of nuclei, right",87520,86,80,101,7.2,-19.9,16.9
4455,17,3057,CX,"DTM","medial group of nuclei, right",692605,90,88,102,2.8,-23.3,8.5
4472,17,3049,CX,"DTLv","lateral group of nuclei, right, ventral division",87525,82,89,102,11.3,-23.4,7.6
4506,17,3065,CX,"R","reticular nucleus of thalamus, left",87541,110,83,97,-18.1,-17.1,12.4
4507,17,3018,CX,"ZI","zona incerta, left",690726,100,92,99,-7.7,-21.5,3.4
4512,17,2978,CX,"R","reticular nucleus of thalamus, right",87521,76,85,101,17.7,-21.0,11.8
4513,17,3026,CX,"ZI","zona incerta, right",87536,82,96,100,11.3,-23.2,-0.3
4518,17,3090,CX,"Sb","subthalamic nucleus, left",87528,107,95,99,-15.1,-22.5,0.0
9005,17,3025,CX,"CGMB","central gray substance of midbrain, right",668917,93,98,100,-0.3,-24.1,-2.7
9054,17,3034,CX,"RN","red nucleus, left",87527,101,100,100,-8.8,-24.8,-5.0
9057,17,2986,CX,"RN","red nucleus, right",668919,86,100,101,7.0,-25.5,-4.5
